import time: self [us] | cumulative | imported package
import time:       163 |        163 | winreg
import time:       372 |        372 |   _io
import time:        61 |         61 |   marshal
import time:       342 |        342 |   nt
import time:      1066 |       1840 | _frozen_importlib_external
import time:       152 |        152 |   time
import time:       393 |        544 | zipimport
import time:       125 |        125 |     _codecs
import time:      1046 |       1171 |   codecs
import time:      1397 |       1397 |   encodings.aliases
import time:       568 |        568 |   encodings._win_cp_codecs
import time:      1971 |       5105 | encodings
import time:       591 |        591 | encodings.utf_8
import time:       601 |        601 | encodings.cp1252
import time:        97 |         97 | _signal
import time:        76 |         76 |       _abc
import time:       331 |        406 |     abc
import time:        98 |         98 |       _stat
import time:       269 |        367 |     stat
import time:      1382 |       1382 |     _collections_abc
import time:       147 |        147 |       genericpath
import time:       152 |        152 |       _winapi
import time:       406 |        705 |     ntpath
import time:       880 |       3738 |   os
import time:       161 |        161 |   _sitebuiltins
import time:        96 |         96 |   errno
import time:       941 |        941 |   sitecustomize
import time:      1859 |       6793 | site
import time:       814 |        814 | linecache
import time:       575 |        575 |       app
import time:       559 |        559 |           __future__
import time:        89 |         89 |                 _types
import time:       818 |        907 |               types
import time:      2539 |       3445 |             enum
import time:      3669 |       3669 |             _uuid
import time:      1114 |       8228 |           uuid
import time:       124 |        124 |             _datetime
import time:       912 |       1035 |           datetime
import time:       227 |        227 |               itertools
import time:       975 |        975 |               keyword
import time:       225 |        225 |                 _operator
import time:      1349 |       1574 |               operator
import time:      1120 |       1120 |               reprlib
import time:       196 |        196 |               _collections
import time:      2111 |       6200 |             collections
import time:      1066 |       1066 |             copyreg
import time:       189 |        189 |               _functools
import time:      2115 |       2304 |             functools
import time:       102 |        102 |             _typing
import time:      4840 |      14510 |           typing
import time:      1269 |       1269 |               sqlalchemy.util.preloaded
import time:       108 |        108 |                   _contextvars
import time:      1036 |       1036 |                   _weakrefset
import time:      3394 |       4537 |                 threading
import time:      1471 |       1471 |                 weakref
import time:       820 |        820 |                   sqlalchemy.cyextension
import time:       242 |        242 |                     zlib
import time:      2978 |       3219 |                   sqlalchemy.cyextension.collections
import time:      2072 |       2072 |                   sqlalchemy.cyextension.immutabledict
import time:       173 |        173 |                         _sre
import time:       767 |        767 |                           re._constants
import time:       953 |       1720 |                         re._parser
import time:       489 |        489 |                         re._casefix
import time:      1034 |       3414 |                       re._compiler
import time:      1497 |       4911 |                     re
import time:      1364 |       6275 |                   sqlalchemy.cyextension.processors
import time:      1484 |       1484 |                   sqlalchemy.cyextension.resultproxy
import time:       277 |        277 |                             _struct
import time:       745 |       1021 |                           struct
import time:       137 |        137 |                           binascii
import time:      1793 |       2950 |                         base64
import time:       891 |        891 |                           copy
import time:      2666 |       2666 |                                 _ast
import time:      1543 |       4209 |                               ast
import time:      1893 |       6101 |                             annotationlib
import time:       597 |        597 |                               io
import time:       206 |        206 |                                 _opcode
import time:      1098 |       1098 |                                 _opcode_metadata
import time:      2082 |       3385 |                               opcode
import time:      2793 |       6774 |                             dis
import time:       969 |        969 |                               importlib
import time:       148 |       1117 |                             importlib.machinery
import time:       865 |        865 |                               token
import time:        72 |         72 |                               _tokenize
import time:      2087 |       3023 |                             tokenize
import time:      4088 |      21101 |                           inspect
import time:      1985 |      23975 |                         dataclasses
import time:      6873 |       6873 |                           _hashlib
import time:       122 |        122 |                           _blake2
import time:       904 |       7898 |                         hashlib
import time:      3853 |       3853 |                           _wmi
import time:      2022 |       5874 |                         platform
import time:      1750 |       1750 |                         sysconfig
import time:        77 |         77 |                         _sysconfig
import time:      3060 |       3060 |                           _socket
import time:      2025 |       5085 |                         socket
import time:       141 |        141 |                                 _json
import time:      1023 |       1164 |                               json.scanner
import time:      1353 |       2517 |                             json.decoder
import time:      1105 |       1105 |                             json.encoder
import time:       887 |       4507 |                           json
import time:       685 |        685 |                           email
import time:       403 |        403 |                               posix
import time:       297 |        297 |                               posix
import time:       283 |        982 |                             posixpath
import time:      1528 |       1528 |                               contextlib
import time:      1165 |       1165 |                               fnmatch
import time:      1104 |       3797 |                             glob
import time:       406 |        406 |                             pwd
import time:       303 |        303 |                             grp
import time:       829 |        829 |                               fcntl
import time:       727 |        727 |                               posix
import time:      1037 |       2592 |                             pathlib._os
import time:      1474 |       9551 |                           pathlib
import time:       661 |        661 |                               importlib._abc
